title	pubDate	guid	link	description
How many refugees have fled Ukraine and where are they going?	Mon, 07 Mar 2022 10:04:55 GMT	https://www.bbc.co.uk/news/world-60555472	https://www.bbc.co.uk/news/world-60555472?at_medium=RSS&at_campaign=KARANGA	The EU says up to four million people may try to escape the war in Ukraine.
Ukraine: Irish medical student 'blocking out dangers' in Sumy	Mon, 07 Mar 2022 10:30:54 GMT	https://www.bbc.co.uk/news/world-europe-60638895	https://www.bbc.co.uk/news/world-europe-60638895?at_medium=RSS&at_campaign=KARANGA	A 19-year-old Irish woman living in Sumy is making an attempt to leave the city amid Russian attacks.
Ukraine: India doctor stranded with a jaguar and panther	Mon, 07 Mar 2022 04:48:02 GMT	https://www.bbc.co.uk/news/world-asia-india-60637980	https://www.bbc.co.uk/news/world-asia-india-60637980?at_medium=RSS&at_campaign=KARANGA	Girikumar Patil, who bought two big cats, said he will not leave home without his pets.
WSL highlights: Arsenal survive scare to beat Birmingham and extend WSL lead	Sun, 06 Mar 2022 15:28:03 GMT	https://www.bbc.co.uk/sport/av/football/60639547	https://www.bbc.co.uk/sport/av/football/60639547?at_medium=RSS&at_campaign=KARANGA	Vivianne Miedema becomes the first player to reach 100 Women's Super League goal contributions as leaders Arsenal see off a late Birmingham charge to win 4-2 at Meadow Park.
Blue and yellow flowers as Queen meets Trudeau	Mon, 07 Mar 2022 16:01:05 GMT	https://www.bbc.co.uk/news/uk-60650285	https://www.bbc.co.uk/news/uk-60650285?at_medium=RSS&at_campaign=KARANGA	The Queen returns to in-person meetings with what appears to be a subtle show of support for Ukraine.
Ukraine conflict: Petrol at fresh record as oil and gas prices soar	Mon, 07 Mar 2022 15:47:46 GMT	https://www.bbc.co.uk/news/business-60642786	https://www.bbc.co.uk/news/business-60642786?at_medium=RSS&at_campaign=KARANGA	Investors fear a global economic shock, with rising fuel bills causing more pain for households.
Lynda Baron: Open All Hours actress dies aged 82	Mon, 07 Mar 2022 16:04:18 GMT	https://www.bbc.co.uk/news/entertainment-arts-60647760	https://www.bbc.co.uk/news/entertainment-arts-60647760?at_medium=RSS&at_campaign=KARANGA	The actress played Nurse Gladys Emmanuel opposite Ronnie Barker and Sir David Jason in the sitcom.
Ed Sheeran denies Shape of You copyright claim at High Court trial	Mon, 07 Mar 2022 13:41:32 GMT	https://www.bbc.co.uk/news/entertainment-arts-60648263	https://www.bbc.co.uk/news/entertainment-arts-60648263?at_medium=RSS&at_campaign=KARANGA	The pop singer is accused by two songwriters of copying parts of his 2017 hit Shape Of You.
Dizzee Rascal: Grime artist guilty of assaulting former partner	Mon, 07 Mar 2022 16:18:45 GMT	https://www.bbc.co.uk/news/uk-england-london-60653545	https://www.bbc.co.uk/news/uk-england-london-60653545?at_medium=RSS&at_campaign=KARANGA	The grime artist was found guilty of assaulting his former partner in London last year.
Ukraine war: PM holds talks with Canadian and Dutch PMs over more sanctions	Mon, 07 Mar 2022 15:49:31 GMT	https://www.bbc.co.uk/news/uk-60642926	https://www.bbc.co.uk/news/uk-60642926?at_medium=RSS&at_campaign=KARANGA	Boris Johnson calls for more support for Ukraine, amid scrutiny of the UK's refugee policy.
